"id","receipt_id","to_individual"
1,5,3
2,5,5
3,6,2
4,6,3
5,7,3
6,7,7
7,8,3
8,8,5
9,9,3
10,9,5
11,9,7
12,11,3
13,11,5
14,11,7
15,13,5
16,13,7
17,13,3
